"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Yolmer Sanchez","White Sox","53","7.5 %","28.3 %","0.27",".184",".245",".224",".470",".041","2.9",".265","-0.1","0.2","-0.4","2","-4.6",".214","31","11602"
"Matt Kemp","Reds","52","0.0 %","26.9 %","0.00",".216",".212",".294",".506",".078","0.8",".270","0.0","-0.1","0.0","2","-4.5",".214","25","5631"
"Garrett Hampson","Rockies","63","3.2 %","25.4 %","0.13",".186",".210",".288",".498",".102","7.0",".233","0.0","0.1","-0.2","2","-5.5",".212","11","19262"
"Jesus Aguilar","Brewers","69","11.6 %","21.7 %","0.53",".155",".254",".190",".443",".034","1.4",".205","-0.1","-0.5","0.0","2","-6.1",".211","24","11342"
"Luis Urias","Padres","27","14.8 %","33.3 %","0.44",".091",".259",".136",".396",".045","1.6",".154","0.0","-0.2","0.0","1","-2.5",".207","25","16622"
"J.T. Riddle","Marlins","32","0.0 %","34.4 %","0.00",".156",".156",".344",".500",".188","1.6",".158","0.0","0.1","0.0","1","-3.0",".206","27","17642"
"Ian Desmond","Rockies","65","4.6 %","29.2 %","0.16",".161",".200",".274",".474",".113","0.1",".214","-0.2","-0.2","0.0","2","-6.1",".206","7","6885"
"Andrew Knapp","Phillies","17","11.8 %","41.2 %","0.29",".133",".235",".200",".435",".067","0.1",".250","0.0","0.0","0.0","0","-1.6",".205","22","14942"
"Francisco Cervelli","Pirates","61","6.6 %","24.6 %","0.27",".161",".230",".214",".444",".054","2.6",".200","0.6","-0.2","0.0","2","-5.7",".205","23","5275"
"Tyler Wade","Yankees","21","9.5 %","38.1 %","0.25",".167",".250",".167",".417",".000","5.9",".300","0.0","0.0","0.2","0","-2.0",".200","18","15730"
"Danny Jansen","Blue Jays","55","7.3 %","29.1 %","0.25",".160",".236",".180",".416",".020","1.1",".235","0.2","0.0","0.0","1","-5.5",".197","18","16535"
"Peter O'Brien","Marlins","30","10.0 %","46.7 %","0.21",".111",".200",".222",".422",".111","0.1",".167","-0.1","0.0","0.0","1","-3.1",".194","19","13288"
"Jose Ramirez","Indians","75","5.3 %","14.7 %","0.36",".145",".200",".232",".432",".087","7.5",".155","0.2","0.0","1.0","1","-7.8",".192","10","13510"
"Chris Davis","Orioles","52","11.5 %","38.5 %","0.30",".109",".212",".217",".429",".109","0.8",".160","0.1","0.2","0.0","1","-5.6",".190","12","9272"
"Carlos Gonzalez","Indians","14","0.0 %","35.7 %","0.00",".214",".214",".214",".429",".000","2.6",".333","","","0.0","0","-1.5",".188","7","7287"
"Miguel Andujar","Yankees","14","0.0 %","14.3 %","0.00",".231",".214",".231",".445",".000","1.6",".250","0.1","-0.5","0.0","0","-1.5",".188","10","15878"
"Daniel Robertson","Rays","52","9.6 %","28.8 %","0.33",".149",".231",".149",".380",".000","4.4",".219","-0.3","0.0","0.2","1","-5.8",".184","11","14145"
"Dustin Peterson","Tigers","32","0.0 %","37.5 %","0.00",".161",".188",".226",".413",".065","6.2",".263","0.0","-0.2","0.2","0","-3.6",".182","6","15189"
"Rosell Herrera","Marlins","45","4.4 %","20.0 %","0.22",".143",".200",".190",".390",".048","5.0",".182","0.4","-0.4","0.2","0","-5.2",".179","10","11611"
"Brandon Drury","Blue Jays","68","5.9 %","39.7 %","0.15",".141",".191",".203",".394",".063","3.5",".243","0.1","0.3","0.0","0","-8.0",".177","4","11615"
"Josh Harrison","Tigers","74","6.8 %","17.6 %","0.38",".121",".203",".152",".354",".030","5.0",".148","-1.4","0.2","0.4","0","-9.1",".171","-1","8202"
"Jose Peraza","Reds","54","0.0 %","25.9 %","0.00",".151",".167",".226",".393",".075","5.0",".184","0.4","0.2","-0.2","0","-6.6",".170","-3","13593"
"Alen Hanson","Blue Jays","31","3.2 %","35.5 %","0.09",".179",".226",".179",".404",".000","1.6",".278","-0.1","0.1","0.0","0","-3.8",".170","-1","12926"
"Francisco Mejia","Padres","29","3.4 %","24.1 %","0.14",".143",".172",".214",".387",".071","0.8",".190","-0.1","0.1","0.0","0","-3.6",".169","1","16403"
"Jackie Bradley Jr.","Red Sox","58","5.2 %","29.3 %","0.18",".148",".190",".185",".375",".037","5.0",".211","0.7","-0.1","0.4","0","-7.2",".169","-7","12984"
"Cedric Mullins II","Orioles","66","6.1 %","21.2 %","0.29",".089",".188",".161",".348",".071","5.1",".116","0.5","-0.3","0.0","0","-8.3",".167","-4","17929"
"Eduardo Nunez","Red Sox","46","2.2 %","17.4 %","0.13",".159",".178",".182",".360",".023","5.8",".194","-0.2","-0.4","0.2","0","-6.1",".160","-14","6848"
"Max Scherzer","Nationals","11","0.0 %","54.5 %","0.00",".182",".182",".182",".364",".000","2.6",".400","","","0.0","0","-1.5",".159","-10","3137"
"Jeff Mathis","Rangers","28","3.6 %","39.3 %","0.09",".111",".143",".222",".365",".111","2.6",".133","-0.7","0.0","0.0","0","-3.7",".158","-17","3448"
"Brock Holt","Red Sox","19","10.5 %","36.8 %","0.29",".063",".211",".063",".273",".000","0.1",".111","0.1","0.1","0.0","0","-2.5",".157","-15","9345"
"Luis Guillorme","Mets","10","10.0 %","40.0 %","0.25",".111",".200",".111",".311",".000","2.6",".200","-0.1","0.0","0.0","0","-1.3",".157","-4","16451"
"Pat Valaika","Rockies","27","11.1 %","40.7 %","0.27",".083",".185",".125",".310",".042","2.6",".154","0.2","0.1","0.0","0","-3.7",".155","-26","14885"
"Noah Syndergaard","Mets","10","20.0 %","50.0 %","0.40",".000",".222",".000",".222",".000","2.6",".000","","","0.0","0","-1.4",".154","-6","11762"
"Ehire Adrianza","Twins","22","0.0 %","13.6 %","0.00",".105",".182",".105",".287",".000","2.6",".118","0.1","0.1","0.0","0","-3.2",".145","-21","8418"
"Travis d'Arnaud","Mets","16","12.5 %","6.3 %","2.00",".071",".188",".071",".259",".000","2.6",".077","0.0","0.1","0.0","0","-2.4",".141","-14","7739"
"Daniel Palka","White Sox","42","14.3 %","35.7 %","0.40",".029",".190",".029",".219",".000","0.1",".050","0.0","-0.2","0.0","-1","-6.3",".137","-23","14897"
"Steve Pearce","Red Sox","25","0.0 %","44.0 %","0.00",".125",".160",".125",".285",".000","1.6",".231","-0.6","0.0","0.0","-1","-3.8",".134","-31","9957"
"Zack Cozart","Angels","52","3.8 %","15.4 %","0.25",".102",".154",".122",".276",".020","1.3",".122","0.1","0.1","0.0","-2","-8.1",".132","-25","2616"
"Pablo Reyes","Pirates","25","8.0 %","40.0 %","0.20",".087",".160",".087",".247",".000","1.1",".154","0.0","0.1","0.0","-1","-4.0",".125","-28","16357"
"Cam Gallagher","Royals","14","0.0 %","0.0 %","0.00",".143",".143",".143",".286",".000","0.1",".143","-0.6","0.0","0.0","-1","-2.2",".125","-34","12981"
"Eric Stamets","Indians","48","10.4 %","50.0 %","0.21",".049",".149",".073",".222",".024","2.6",".111","-0.3","0.1","0.0","-2","-8.0",".118","-42","13795"
"Patrick Wisdom","Rangers","16","0.0 %","56.3 %","0.00",".133",".133",".133",".267",".000","2.6",".333","-0.1","0.0","0.0","-1","-2.7",".117","-46","13602"
"Dustin Pedroia","Red Sox","21","4.8 %","9.5 %","0.50",".100",".143",".100",".243",".000","1.6",".111","0.0","-0.4","0.0","-1","-3.5",".116","-44","8370"
"Nick Hundley","Athletics","30","0.0 %","26.7 %","0.00",".103",".133",".103",".237",".000","0.1",".143","0.0","-1.3","0.0","-2","-5.2",".112","-40","3376"
"Peter Bourjos","Angels","34","2.9 %","32.4 %","0.09",".094",".118",".125",".243",".031","6.8",".136","-0.2","0.0","0.2","-2","-5.9",".108","-41","2578"
"Greg Allen","Indians","32","6.3 %","28.1 %","0.22",".036",".125",".071",".196",".036","1.6",".050","0.2","0.1","0.0","-2","-5.7",".104","-51","16623"
"Connor Joe","Giants","16","6.3 %","31.3 %","0.20",".067",".125",".067",".192",".000","2.6",".100","0.1","-0.1","0.0","-1","-2.9",".098","-45","16572"
"Jon Gray","Rockies","10","0.0 %","60.0 %","0.00",".111",".111",".111",".222",".000","0.1",".333","","","0.0","-1","-1.8",".097","-63","14916"
"Josh Fuentes","Rockies","18","0.0 %","44.4 %","0.00",".111",".111",".111",".222",".000","2.6",".200","-0.1","0.0","0.0","-1","-3.3",".097","-63","16885"
"Daniel Murphy","Rockies","10","0.0 %","0.0 %","0.00",".100",".100",".100",".200",".000","2.6",".100","0.1","0.0","0.0","-1","-1.9",".088","-69","4316"
"Max Stassi","Astros","19","5.3 %","42.1 %","0.13",".056",".105",".056",".161",".000","0.1",".100","-0.1","0.0","0.0","-1","-3.7",".082","-58","10059"
"Max Moroff","Indians","27","0.0 %","48.1 %","0.00",".077",".077",".115",".192",".038","2.6",".154","0.0","0.1","0.0","-2","-5.3",".081","-67","14556"
"Aaron Altherr","Phillies","18","0.0 %","22.2 %","0.00",".056",".056",".111",".167",".056","2.6",".071","0.0","0.0","0.0","-2","-3.7",".069","-66","11270"
"Socrates Brito","Blue Jays","23","8.7 %","43.5 %","0.20",".000",".087",".000",".087",".000","2.6",".000","0.0","0.0","0.0","-2","-4.9",".060","-78","12944"
"Frank Schwindel","Royals","15","0.0 %","13.3 %","0.00",".067",".067",".067",".133",".000","0.1",".077","0.0","0.0","0.0","-1","-3.2",".058","-81","15351"
"Yonathan Daza","Rockies","12","8.3 %","33.3 %","0.25",".000",".083",".000",".083",".000","0.1",".000","0.0","0.1","0.0","-1","-2.6",".058","-88","15794"
"Mikie Mahtook","Tigers","25","8.0 %","44.0 %","0.18",".000",".080",".000",".080",".000","0.1",".000","-0.1","0.1","0.0","-2","-5.5",".055","-82","13130"
"Jake Arrieta","Phillies","10","0.0 %","50.0 %","0.00",".000",".000",".000",".000",".000","0.1",".000","","","0.0","-1","-2.7",".000","-100","4153"
"Alex Jackson","Braves","11","9.1 %","27.3 %","0.33",".000",".091",".000",".091",".000","0.1",".000","0.0","0.0","0.0","-2","-2.9",".000","-100","17276"
